id;name;country_id
1;Alausí;52
2;Ambato;52
3;Azogues;52
4;Babahoyo;52
5;Buena Fe;52
6;Cayambe;52
7;Chone;52
8;Cuenca;52
9;Daule;52
10;Durán;52
11;El Carmen;52
12;Esmeraldas;52
13;Gualaceo;52
14;Guamote;52
15;Guayaquil;52
16;Huaquillas;52
17;Ibarra;52
18;Jipijapa;52
19;La Libertad;52
20;La Maná;52
21;La Troncal;52
22;Latacunga;52
23;Loja;52
24;Macas;52
25;Machala;52
26;Manta ;52
27;Milagro;52
28;Nueva Loja;52
29;Otavalo;52
30;Pasaje;52
31;Píllaro;52
32;Piñas;52
33;Portovelo;52
34;Portoviejo;52
35;Puyango;52
36;Quevedo ;52
37;Quijos;52
38;Quito;52
39;Riobamba;52
40;Salinas;52
41;Samborondón;52
42;San Gabriel;52
43;Sangolquí;52
44;Santa Elena;52
45;Santa Rosa;52
46;Santo Domingo de los Colorados;52
47;Tena;52
48;Tulcán;52
49;Velasco Ibarra;52
50;Ventanas;52
